tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,0.0,0.0,9.8,0.0,148.6,214.2,90.1,42.1,101.6,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,3.6,98.7,127.0,156.2,9.4,30.5,88.5,2.9,0.0,41.1,0.0,27.4,21.5,0.0,0.0,0.0,15.4
2,0.0,0.0,0.0,11.3,96.8,164.9,43.2,251.1,109.6,98.4,42.3,39.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8.0,133.5,0.0,88.3,18.7,61.5,24.6,75.9,64.4,96.4,22.4,4.9,0.0,33.1,23.9,0.0
4,0.0,0.0,8.2,0.0,52.7,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,57.2,90.3,3.8,45.2,0.0,0.0,0.0
5,0.0,0.0,5.2,0.0,0.0,5.4,0.0,4.6,84.0,191.5,117.6,102.9,2.6,0.0,58.8,44.1,0.0,0.0,0.0,0.0
6,0.0,0.0,9.6,77.1,0.0,50.8,36.4,219.8,0.0,72.0,10.5,19.1,64.5,62.6,44.7,6.0,0.0,0.0,0.0,0.0
7,0.0,0.0,10.7,89.8,0.0,61.7,7.8,0.0,0.0,84.6,106.4,168.0,76.0,26.8,4.6,0.0,55.4,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,5.9,0.0,74.0,39.0,202.8,39.3,34.7,22.0,77.5,90.6,0.0,30.2,45.3,0.0,0.0,0.0
9,0.0,0.0,0.0,8.6,135.4,0.0,123.2,0.0,151.4,35.2,53.6,55.4,47.5,46.2,31.7,15.8,0.0,0.0,0.0,0.0
10,79.0,77.0,47.0,9.0,9.2,0.0,200.2,44.8,23.8,45.6,23.0,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,8.6,101.5,59.4,38.3,346.5,81.9,0.0,0.0,0.0,6.2,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,241.0,197.2,156.8,76.8,121.9,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,141.7,177.3,61.5,139.8,67.9,95.9,8.7,32.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,553.0,434.0,351.4,90.4,89.6,55.8,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,9.8,0.0,0.0,150.0,318.2,0.0,202.5,56.4,18.1,0.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,104.0,89.6,212.2,0.0,0.0,0.0,36.5,100.6,78.9,0.0,11.9,25.7,0.0,31.7,0.0,0.0,0.0,0.0
17,0.0,11.6,0.0,0.0,0.0,0.0,50.2,0.0,0.0,0.0,0.0,0.0,27.0,57.6,43.2,0.0,0.0,74.8,92.4,170.2
18,0.0,0.0,16.1,0.0,0.0,5.4,71.6,53.7,171.4,114.2,91.9,4.7,0.0,6.8,12.6,53.6,40.2,0.0,0.0,0.0
19,0.0,0.0,250.0,195.9,93.4,79.8,64.4,49.1,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,134.8,96.7,35.8,136.9,0.0,31.2,0.0,0.0,0.0,0.0,26.1,36.8,35.8,8.7,9.7,0.0,0.0,0.0,0.0
21,0.0,10.3,0.0,0.0,0.0,0.0,89.7,155.0,113.5,50.2,0.0,0.0,4.3,58.0,0.2,0.0,0.0,0.0,0.0,0.0
22,0.0,242.3,165.5,167.2,0.0,48.4,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,8.6,0.0,68.0,55.4,0.0,97.0,54.2,266.1,62.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,115.0,74.0,118.4,0.0,49.8,0.0,0.0,24.7,31.8,50.0,45.4,31.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,110.8
26,0.0,186.0,161.3,69.5,55.2,0.0,74.5,28.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,8.0,0.0,0.0,0.0,0.0,54.6,107.9,0.0,42.3,0.0,161.5,134.2,32.7,12.3,70.6,63.2,3.1,0.0,0.0
28,0.0,10.3,0.0,0.0,0.0,0.0,56.0,67.5,54.0,236.3,106.9,74.7,2.2,37.9,40.5,29.0,9.4,0.0,0.0,0.0
29,0.0,0.0,72.2,57.6,104.0,8.1,146.8,94.6,103.2,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,129.0,100.7,88.0,277.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,233.0,448.8,281.8,76.9,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,18.4,0.0,114.1,29.3,48.9,84.2,33.3,60.8,39.2,37.0,70.0,19.8,21.1,23.8,0.0,0.0,0.0,0.0
33,0.0,0.0,78.8,175.9,55.4,36.4,52.6,44.8,5.3,7.9,0.0,34.8,36.8,0.0,0.0,29.2,8.1,0.0,0.0,0.0
34,0.0,0.0,9.2,0.0,0.0,101.0,71.5,85.8,40.2,50.8,81.5,24.7,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,7.7,0.0,0.0,0.0,91.6,172.3,101.5,0.0,120.8,81.2,40.5,0.0,4.5,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,28.3,112.8,144.0,0.0,95.4,0.0,20.6,42.9,0.0,91.6,81.7,73.5,0.0,0.0,12.1,0.0,0.0
37,0.0,0.0,0.0,18.2,0.0,142.7,142.0,27.8,0.0,18.3,0.0,32.1,47.0,0.0,67.0,0.0,0.0,9.7,0.0,0.0
38,0.0,0.0,0.0,16.4,0.0,0.0,83.0,51.8,72.9,145.5,0.0,11.4,32.9,0.0,44.9,0.0,0.0,34.6,21.6,28.8
39,0.0,0.0,0.0,272.6,245.7,92.7,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,113.2,70.6,201.3,105.6,113.7,8.6,34.9,8.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,20.5,92.8,0.0,73.9,83.6,0.0,35.2,52.8,0.0,0.0,29.8,38.4,37.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,211.0,90.0,123.7,54.0,0.0,0.0,15.3,33.4,0.0,0.0,0.0,0.0,27.8,0.0,0.0,46.1,0.0
43,0.0,0.0,0.0,0.0,0.0,19.5,7.6,176.8,98.6,66.7,76.9,0.0,93.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,504.0,263.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,128.0,86.8,183.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,42.8
46,0.0,0.0,0.0,0.0,0.0,121.0,0.0,82.4,78.7,94.7,75.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,37.2,71.0,90.6,89.7,0.0,0.0,0.0,29.7,46.5,0.0,12.6
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,224.3,52.2,162.4
49,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,41.8,63.6,47.7,75.4,77.0,33.8,46.2,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,9.0,96.0,0.0,188.1,24.8,237.8,26.8,0.0,11.9,13.4,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.2,110.6,72.8,122.3,87.4
52,0.0,0.0,0.0,0.0,135.0,320.1,74.9,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,93.0,0.0,114.8,107.8,92.4,145.2,20.9,62.6,0.0,11.9,8.9,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,109.0,128.7,242.4,157.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,86.6,78.0,62.4,0.0,0.0,148.4,123.8,12.8,96.0,33.3,0.0,0.0
56,0.0,0.0,0.0,0.0,102.2,80.7,364.9,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,87.6,271.2,0.0,0.0,0.0,0.0,34.6,77.2,72.4,49.1,0.0,19.9,0.0,26.2,58.0,10.8
58,0.0,0.0,0.0,0.0,210.0,96.8,118.5,0.0,0.0,72.1,79.4,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,20.8,0.0,107.0,134.2,116.7,107.0,0.0,29.3,0.0,0.0,51.0,0.0,0.0,78.7,63.8,0.0
60,0.0,0.0,0.0,0.0,354.9,157.5,0.0,0.0,17.2,21.9,22.9,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,24.0,0.0,203.0,0.0,139.3,112.7,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,21.7,0.0,60.0,46.8,202.8,69.0,14.2,10.4,26.8,0.0,10.1,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,131.4,0.0,79.3,27.8,206.2,32.0,27.4,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,145.4,83.7,182.5,87.0,0.0,75.4,0.0,0.0,0.0,0.0,0.0,0.0,38.2,11.4,0.0,17.0
65,0.0,0.0,0.0,0.0,0.0,23.3,98.6,62.4,120.7,130.5,47.8,0.0,55.5,0.0,24.2,13.6,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,69.0,112.0,284.0,122.3,84.6,21.7,0.0,0.0,3.3,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,94.2,200.5,174.4,68.4,37.5,0.0,9.1,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,143.5,233.4,78.5,50.1,59.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,98.0,129.0,53.9,130.1,191.2,31.5,16.8,62.5,0.0,4.6,0.0
70,0.0,0.0,0.0,0.0,0.0,134.2,117.9,75.4,30.3,50.4,67.1,0.0,42.2,26.8,29.8,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,107.9,0.0,0.0,0.0,51.0,76.2,110.6,97.9,23.6,17.0,18.2,0.0,0.0,0.0,0.0
