tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,9.4,75.1,316.6,484.6,576.0,632.0,705.1,720.9,730.5,730.5,730.5,730.5,757.7,775.3,788.9,818.9,854.4,881.8,894.3,910.1,923.3,932.0,935.9,935.9,935.9,935.9,935.9,935.9,935.9
1,0.0,8.9,82.7,150.6,326.2,582.8,706.3,865.0,918.4,918.4,918.4,918.4,918.4,918.4,918.4,958.4,979.1,988.5,996.6,996.6,996.6,996.6,996.6,996.6,996.6,1016.1,1016.1,1016.1,1052.1,1079.1
2,0.0,7.4,142.7,545.5,575.8,641.7,705.9,758.0,758.0,758.0,795.5,826.1,826.1,826.1,826.1,835.9,887.7,934.8,967.1,1016.1,1021.5,1027.3,1031.6,1031.6,1031.6,1031.6,1031.6,1031.6,1031.6,1031.6
3,0.0,11.7,101.9,420.3,447.1,633.2,690.9,740.3,740.3,774.9,774.9,799.6,845.4,877.6,889.7,909.1,909.1,909.1,937.3,989.5,1035.1,1035.1,1035.1,1035.1,1035.1,1035.1,1035.1,1035.1,1035.1,1035.1
4,92.0,92.0,330.8,518.1,577.9,656.2,718.3,718.3,718.3,726.4,772.6,870.2,870.2,870.2,870.2,925.2,925.2,925.2,925.2,925.2,925.2,938.6,1002.3,1002.3,1002.3,1002.3,1002.3,1002.3,1002.3,1002.3
5,0.0,0.0,113.2,113.2,493.0,750.6,963.1,963.1,963.1,963.1,995.2,1017.0,1017.0,1017.0,1017.0,1017.0,1017.0,1035.8,1052.0,1052.0,1074.8,1113.0,1146.3,1146.3,1146.3,1146.3,1146.3,1146.3,1146.3,1146.3
6,216.0,444.1,444.1,465.9,465.9,539.6,662.2,817.6,817.6,817.6,817.6,823.8,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,844.2,925.5,925.5,925.5,925.5
7,0.0,228.0,315.6,408.0,496.4,655.2,782.4,813.1,853.0,861.9,874.2,888.1,888.1,888.1,888.1,888.1,888.1,888.1,915.5,920.8,936.6,964.3,967.4,988.3,994.8,994.8,999.6,1044.6,1092.8,1124.9
8,0.0,194.0,517.8,694.2,694.2,738.0,753.1,788.8,827.6,827.6,885.5,924.6,924.6,924.6,933.3,933.3,976.4,1020.9,1020.9,1020.9,1020.9,1020.9,1047.4,1090.1,1090.1,1090.1,1090.1,1090.1,1127.6,1159.9
9,239.0,454.5,454.5,512.1,512.1,551.7,551.7,574.2,574.2,582.7,582.7,582.7,613.3,613.3,613.3,667.3,701.6,701.6,724.4,793.4,843.7,874.1,908.9,937.9,988.9,1021.2,1042.4,1059.7,1059.7,1059.7
