tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,9.4,65.7,58.7,167.2,68.7,329.1,114.2,119.8,82.5,35.6,10.8,4.5,0.0,0.0,0.0,0.0,0.0,6.4,10.6,83.7,66.6,8.4,0.0,0.0,4.2,0.0,0.0,0.0,0.0
1,0.0,8.9,87.0,138.3,221.2,137.7,140.9,96.1,0.0,0.0,10.8,0.0,0.0,0.0,0.0,21.5,72.9,33.4,0.0,0.0,8.7,0.0,64.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0
2,0.0,7.4,133.6,359.4,46.8,55.3,62.8,4.6,32.8,29.3,60.7,0.0,0.0,30.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,11.7,102.8,240.5,27.9,183.7,94.2,35.3,8.5,20.3,35.3,9.8,25.2,0.0,3.8,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
4,92.0,8.1,154.4,188.4,70.8,159.7,118.5,10.0,0.0,0.0,0.0,0.0,0.0,5.1,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,113.2,9.4,173.6,366.6,155.0,105.8,24.9,11.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,216.0,220.0,4.3,0.0,43.6,49.8,44.7,25.5,9.9,8.8,12.3,62.3,16.2,89.8,45.1,38.6,2.7,9.3,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,228.0,100.5,45.8,66.2,97.4,87.8,0.0,29.3,0.0,0.0,69.8,86.9,133.9,8.0,5.0,0.0,39.8,12.1,0.0,27.6,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,194.0,238.1,90.9,56.7,48.1,13.1,11.8,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,7.0,6.5,0.0,0.0,69.5,0.0,10.0
9,239.0,215.5,4.3,57.6,14.5,32.4,2.4,0.0,0.0,0.0,0.0,0.0,97.9,67.8,0.0,32.5,161.1,28.7,0.1,0.0,3.5,0.0,0.0,0.0,7.0,47.0,0.0,0.0,0.0,0.0
10,222.0,185.3,9.3,0.0,21.8,62.7,50.1,47.5,0.0,0.0,0.0,53.6,43.0,0.0,73.8,58.4,41.4,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,104.0,67.0,55.0,65.5,137.4,28.6,118.2,40.3,32.4,66.8,78.2,60.2,2.6,0.0,44.1,18.7,0.0,17.6,0.0,0.0,0.0,0.0,16.6,0.0,49.1,14.5,0.0,110.0,0.0,0.0
12,0.0,0.0,10.0,96.4,300.0,86.4,157.4,0.0,32.0,26.0,10.9,9.3,0.0,12.0,4.5,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,7.7,31.3,0.0,0.0,0.0,0.0,0.0
13,0.0,97.0,74.4,273.2,10.8,0.0,79.3,153.7,29.7,0.0,122.1,60.5,8.2,62.5,8.2,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,141.5,170.6,68.0,48.1,30.5,12.5,58.0,62.9,8.0,9.6,0.0,1.1,0.0,4.7,76.4,88.0,5.1,4.9,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,246.2,300.2,101.7,90.9,0.0,81.1,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,417.0,143.8,121.1,34.7,12.4,0.0,14.4,19.4,4.2,99.9,0.0,4.6,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,11.4,0.0,2.3,0.0
17,0.0,0.0,7.9,1.6,11.3,241.3,63.2,206.7,106.2,4.5,13.0,34.1,7.7,4.9,84.1,0.0,2.2,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,8.8,14.0,312.8,96.6,45.1,42.2,48.3,8.6,10.9,9.6,14.9,54.9,0.0,50.2,23.1,13.6,0.1,4.3,0.0,0.0,0.0,10.9,0.0,7.9,0.0,0.0,0.0,0.0
19,0.0,0.0,7.5,46.2,188.8,82.3,168.5,90.5,6.1,10.3,0.0,133.6,81.2,78.8,41.8,30.6,7.6,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,18.2,126.3,289.1,112.8,1.0,53.7,18.2,29.2,77.9,35.8,0.0,83.9,66.0,0.0,0.0,13.3,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,126.3,93.2,72.1,120.3,14.7,164.0,33.9,12.4,0.0,7.1,19.4,0.0,10.6,21.4,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,8.4,9.0,0.0,4.4,0.0,0.0
22,0.0,0.0,139.3,11.8,212.7,31.4,16.6,57.9,6.3,45.5,39.9,59.6,0.0,6.0,0.0,20.3,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,356.0,124.8,30.0,42.8,51.5,36.2,20.5,34.7,24.8,42.2,23.9,8.3,7.4,0.0,14.7,74.3,54.0,0.0,21.6,0.0,0.0,0.0,1.1,0.0,0.0,0.0,5.0,0.0
24,0.0,0.0,202.2,171.9,116.5,45.8,15.3,28.4,24.7,9.4,6.2,8.7,0.0,0.0,28.0,17.0,0.0,4.9,38.1,0.0,7.9,22.9,94.5,0.0,6.9,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,127.7,221.9,64.0,66.5,38.6,0.0,73.2,84.9,0.0,7.1,0.0,0.0,5.3,0.0,12.0,0.0,5.2,7.5,0.0,0.0,0.0,34.2,23.2,0.0,0.0,7.1,0.0
26,0.0,0.0,0.0,7.2,80.0,56.7,13.5,229.6,42.4,33.7,0.0,8.8,0.0,16.0,23.1,5.3,0.0,12.0,30.6,23.1,84.1,75.6,11.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,220.8,221.8,69.3,84.9,39.9,38.3,28.9,94.0,172.3,12.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
