tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,1,1,2,5,6,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11
1,0,1,3,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9
2,0,1,4,7,7,7,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3,0,1,3,7,8,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12
4,1,1,2,3,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,0,0,2,2,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
6,2,3,3,3,4,5,6,6,8,8,9,13,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15
7,0,2,3,5,7,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
8,0,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,7,7,7
9,2,3,3,3,3,3,3,3,3,3,3,3,5,5,5,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9
10,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,1,1,1,1,4,4,7,7,8,9,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,14,14
12,0,0,1,3,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8
13,0,1,2,5,5,5,7,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
14,0,2,2,3,3,3,3,3,4,5,5,5,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
15,0,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
16,0,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
17,0,0,1,2,3,4,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
18,0,0,1,4,7,8,8,8,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13
19,0,0,1,3,3,3,4,5,5,6,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
