sci_id, tp, age, actual_returns,0,1,2,3,4,5
0,0,0,119.0,9,-1,-1,-1,-1,-1
1,0,0,133.0,6,-1,-1,-1,-1,-1
2,0,0,120.0,9,-1,-1,-1,-1,-1
3,0,0,104.0,11,-1,-1,-1,-1,-1
4,0,0,83.0,6,-1,-1,-1,-1,-1
5,0,0,92.0,4,-1,-1,-1,-1,-1
6,0,0,97.0,10,-1,-1,-1,-1,-1
7,0,0,125.0,10,-1,-1,-1,-1,-1
0,1,1,88.5,1,9,-1,-1,-1,-1
1,1,1,117.1,3,6,-1,-1,-1,-1
2,1,1,105.0,9,14,-1,-1,-1,-1
3,1,1,74.4,2,11,-1,-1,-1,-1
4,1,1,82.6,6,9,-1,-1,-1,-1
5,1,1,81.4,6,-1,-1,-1,-1,-1
6,1,1,94.0,0,10,-1,-1,-1,-1
7,1,1,111.9,10,15,-1,-1,-1,-1
8,1,0,96.0,8,-1,-1,-1,-1,-1
9,1,0,89.0,16,-1,-1,-1,-1,-1
10,1,0,98.0,8,-1,-1,-1,-1,-1
11,1,0,91.0,15,-1,-1,-1,-1,-1
12,1,0,131.0,14,-1,-1,-1,-1,-1
13,1,0,112.0,16,-1,-1,-1,-1,-1
14,1,0,144.0,15,-1,-1,-1,-1,-1
15,1,0,130.0,16,-1,-1,-1,-1,-1
16,1,0,97.0,13,-1,-1,-1,-1,-1
17,1,0,112.0,7,-1,-1,-1,-1,-1
18,1,0,86.0,16,-1,-1,-1,-1,-1
19,1,0,116.0,7,-1,-1,-1,-1,-1
0,2,2,82.0,1,5,-1,-1,-1,-1
1,2,2,100.2,3,12,-1,-1,-1,-1
2,2,2,120.0,14,-1,-1,-1,-1,-1
3,2,2,124.8,11,-1,-1,-1,-1,-1
4,2,2,43.2,2,-1,-1,-1,-1,-1
5,2,2,124.8,4,-1,-1,-1,-1,-1
6,2,2,73.0,0,21,-1,-1,-1,-1
7,2,2,120.8,10,15,-1,-1,-1,-1
8,2,1,87.9,18,8,-1,-1,-1,-1
9,2,1,66.5,16,24,-1,-1,-1,-1
10,2,1,135.9,8,-1,-1,-1,-1,-1
11,2,1,121.5,15,-1,-1,-1,-1,-1
12,2,1,105.6,24,14,-1,-1,-1,-1
13,2,1,93.6,16,15,-1,-1,-1,-1
14,2,1,126.0,22,15,-1,-1,-1,-1
15,2,1,108.8,8,-1,-1,-1,-1,-1
16,2,1,78.5,17,13,-1,-1,-1,-1
17,2,1,92.1,2,-1,-1,-1,-1,-1
18,2,1,74.8,16,19,-1,-1,-1,-1
19,2,1,97.3,22,7,-1,-1,-1,-1
20,2,0,82.0,24,-1,-1,-1,-1,-1
21,2,0,106.0,23,-1,-1,-1,-1,-1
22,2,0,155.0,23,-1,-1,-1,-1,-1
23,2,0,105.0,5,-1,-1,-1,-1,-1
24,2,0,103.0,24,-1,-1,-1,-1,-1
25,2,0,117.0,22,-1,-1,-1,-1,-1
26,2,0,114.0,4,-1,-1,-1,-1,-1
27,2,0,95.0,23,-1,-1,-1,-1,-1
28,2,0,119.0,21,-1,-1,-1,-1,-1
0,3,3,75.5,1,29,-1,-1,-1,-1
1,3,3,125.3,3,-1,-1,-1,-1,-1
2,3,3,64.0,25,9,-1,-1,-1,-1
3,3,3,109.2,2,11,-1,-1,-1,-1
4,3,3,107.8,2,-1,-1,-1,-1,-1
5,3,3,109.2,4,6,-1,-1,-1,-1
6,3,3,51.0,0,31,-1,-1,-1,-1
7,3,3,77.7,25,10,-1,-1,-1,-1
8,3,2,61.8,8,25,-1,-1,-1,-1
9,3,2,72.0,16,26,-1,-1,-1,-1
10,3,2,120.8,8,-1,-1,-1,-1,-1
11,3,2,67.0,11,-1,-1,-1,-1,-1
12,3,2,97.2,19,-1,-1,-1,-1,-1
13,3,2,74.2,30,15,-1,-1,-1,-1
14,3,2,113.0,28,15,-1,-1,-1,-1
15,3,2,98.6,0,-1,-1,-1,-1,-1
16,3,2,124.0,13,-1,-1,-1,-1,-1
17,3,2,84.2,2,27,-1,-1,-1,-1
18,3,2,62.6,16,29,-1,-1,-1,-1
19,3,2,89.6,13,-1,-1,-1,-1,-1
20,3,1,68.1,7,-1,-1,-1,-1,-1
21,3,1,87.8,3,-1,-1,-1,-1,-1
22,3,1,137.7,13,-1,-1,-1,-1,-1
23,3,1,94.0,12,-1,-1,-1,-1,-1
24,3,1,83.1,24,25,-1,-1,-1,-1
25,3,1,105.3,3,-1,-1,-1,-1,-1
26,3,1,111.0,20,4,-1,-1,-1,-1
27,3,1,84.4,14,-1,-1,-1,-1,-1
28,3,1,103.6,21,27,-1,-1,-1,-1
29,3,0,104.0,27,-1,-1,-1,-1,-1
30,3,0,99.0,25,-1,-1,-1,-1,-1
31,3,0,98.0,27,-1,-1,-1,-1,-1
32,3,0,77.0,31,-1,-1,-1,-1,-1
33,3,0,81.0,2,7,-1,-1,-1,-1
34,3,0,97.0,2,-1,-1,-1,-1,-1
35,3,0,111.0,29,-1,-1,-1,-1,-1
36,3,0,101.0,28,-1,-1,-1,-1,-1
37,3,0,97.0,0,-1,-1,-1,-1,-1
38,3,0,96.0,23,-1,-1,-1,-1,-1
0,4,4,56.0,21,-1,-1,-1,-1,-1
1,4,4,107.4,12,-1,-1,-1,-1,-1
2,4,4,58.0,18,-1,-1,-1,-1,-1
3,4,4,33.6,32,2,-1,-1,-1,-1
4,4,4,21.4,5,-1,-1,-1,-1,-1
5,4,4,45.6,0,-1,-1,-1,-1,-1
6,4,4,90.0,0,21,-1,-1,-1,-1
7,4,4,68.6,10,11,-1,-1,-1,-1
8,4,3,98.7,18,25,-1,-1,-1,-1
9,4,3,38.5,32,16,-1,-1,-1,-1
10,4,3,57.7,11,-1,-1,-1,-1,-1
11,4,3,94.5,11,-1,-1,-1,-1,-1
12,4,3,114.8,19,24,-1,-1,-1,-1
13,4,3,59.8,4,-1,-1,-1,-1,-1
14,4,3,101.0,34,15,-1,-1,-1,-1
15,4,3,113.4,0,-1,-1,-1,-1,-1
16,4,3,108.5,17,-1,-1,-1,-1,-1
17,4,3,104.3,7,27,-1,-1,-1,-1
18,4,3,92.4,29,-1,-1,-1,-1,-1
19,4,3,109.9,22,7,-1,-1,-1,-1
20,4,2,119.2,7,24,-1,-1,-1,-1
21,4,2,69.6,22,-1,-1,-1,-1,-1
22,4,2,123.4,33,13,-1,-1,-1,-1
23,4,2,104.0,5,12,-1,-1,-1,-1
24,4,2,76.2,21,25,-1,-1,-1,-1
25,4,2,78.6,1,-1,-1,-1,-1,-1
26,4,2,100.0,26,-1,-1,-1,-1,-1
27,4,2,124.8,23,14,-1,-1,-1,-1
28,4,2,123.2,21,27,-1,-1,-1,-1
29,4,1,88.9,12,-1,-1,-1,-1,-1
30,4,1,91.7,21,-1,-1,-1,-1,-1
31,4,1,89.7,20,-1,-1,-1,-1,-1
32,4,1,114.3,31,-1,-1,-1,-1,-1
33,4,1,97.0,1,-1,-1,-1,-1,-1
34,4,1,84.6,31,-1,-1,-1,-1,-1
35,4,1,117.9,29,-1,-1,-1,-1,-1
36,4,1,125.1,28,-1,-1,-1,-1,-1
37,4,1,81.6,18,-1,-1,-1,-1,-1
38,4,1,92.4,34,23,-1,-1,-1,-1
39,4,0,113.0,33,-1,-1,-1,-1,-1
40,4,0,100.0,29,-1,-1,-1,-1,-1
41,4,0,103.0,12,-1,-1,-1,-1,-1
42,4,0,67.0,3,27,-1,-1,-1,-1
43,4,0,127.0,34,-1,-1,-1,-1,-1
44,4,0,119.0,5,-1,-1,-1,-1,-1
45,4,0,93.0,25,-1,-1,-1,-1,-1
46,4,0,120.0,5,-1,-1,-1,-1,-1
47,4,0,126.0,5,24,-1,-1,-1,-1
0,5,5,72.5,1,21,9,-1,-1,-1
1,5,5,89.5,3,6,12,-1,-1,-1
2,5,5,36.0,41,9,-1,-1,-1,-1
3,5,5,78.0,32,-1,-1,-1,-1,-1
4,5,5,21.0,20,-1,-1,-1,-1,-1
5,5,5,78.0,0,6,-1,-1,-1,-1
6,5,5,75.0,31,-1,-1,-1,-1,-1
7,5,5,55.5,39,10,-1,-1,-1,-1
8,5,4,48.6,35,8,-1,-1,-1,-1
9,5,4,81.0,26,-1,-1,-1,-1,-1
10,5,4,43.6,23,11,-1,-1,-1,-1
11,5,4,49.0,33,-1,-1,-1,-1,-1
12,5,4,56.4,40,14,-1,-1,-1,-1
13,5,4,39.4,1,-1,-1,-1,-1,-1
14,5,4,84.0,33,-1,-1,-1,-1,-1
15,5,4,59.2,0,5,-1,-1,-1,-1
16,5,4,93.0,17,-1,-1,-1,-1,-1
17,5,4,89.4,7,27,-1,-1,-1,-1
18,5,4,79.2,19,-1,-1,-1,-1,-1
19,5,4,61.2,20,-1,-1,-1,-1,-1
20,5,3,104.3,7,24,-1,-1,-1,-1
21,5,3,59.4,3,37,-1,-1,-1,-1
22,5,3,98.1,23,25,13,-1,-1,-1
23,5,3,65.0,22,12,-1,-1,-1,-1
24,5,3,104.3,21,24,25,-1,-1,-1
25,5,3,86.9,1,36,-1,-1,-1,-1
26,5,3,87.0,36,4,-1,-1,-1,-1
27,5,3,109.2,23,14,-1,-1,-1,-1
28,5,3,75.8,18,27,-1,-1,-1,-1
29,5,2,80.8,39,12,-1,-1,-1,-1
30,5,2,82.4,0,21,25,-1,-1,-1
31,5,2,70.4,20,37,-1,-1,-1,-1
32,5,2,59.6,28,31,-1,-1,-1,-1
33,5,2,90.0,1,40,-1,-1,-1,-1
34,5,2,73.2,2,40,-1,-1,-1,-1
35,5,2,78.8,22,29,-1,-1,-1,-1
36,5,2,111.2,28,-1,-1,-1,-1,-1
37,5,2,107.2,18,-1,-1,-1,-1,-1
38,5,2,57.8,23,40,-1,-1,-1,-1
39,5,1,141.3,33,-1,-1,-1,-1,-1
40,5,1,96.0,36,29,-1,-1,-1,-1
41,5,1,91.6,12,13,-1,-1,-1,-1
42,5,1,107.6,3,38,-1,-1,-1,-1
43,5,1,136.8,34,-1,-1,-1,-1,-1
44,5,1,105.5,21,5,-1,-1,-1,-1
45,5,1,85.3,37,25,-1,-1,-1,-1
46,5,1,105.6,5,7,-1,-1,-1,-1
47,5,1,142.6,5,39,-1,-1,-1,-1
48,5,0,91.0,40,-1,-1,-1,-1,-1
49,5,0,105.0,20,-1,-1,-1,-1,-1
50,5,0,103.0,40,-1,-1,-1,-1,-1
51,5,0,147.0,41,-1,-1,-1,-1,-1
52,5,0,60.0,24,25,-1,-1,-1,-1
53,5,0,99.0,37,-1,-1,-1,-1,-1
54,5,0,107.0,36,-1,-1,-1,-1,-1
55,5,0,133.0,39,-1,-1,-1,-1,-1
56,5,0,87.0,31,-1,-1,-1,-1,-1
57,5,0,122.0,41,-1,-1,-1,-1,-1
58,5,0,121.0,37,-1,-1,-1,-1,-1
59,5,0,96.0,32,-1,-1,-1,-1,-1
60,5,0,123.0,40,-1,-1,-1,-1,-1
0,6,6,24.0,32,-1,-1,-1,-1,-1
1,6,6,71.6,3,6,12,-1,-1,-1
2,6,6,60.0,41,-1,-1,-1,-1,-1
3,6,6,62.4,32,-1,-1,-1,-1,-1
4,6,6,3.6,2,51,-1,-1,-1,-1
5,6,6,62.4,0,6,-1,-1,-1,-1
6,6,6,20.0,0,47,-1,-1,-1,-1
7,6,6,60.4,39,-1,-1,-1,-1,-1
8,6,5,70.5,35,-1,-1,-1,-1,-1
9,6,5,67.5,26,-1,-1,-1,-1,-1
10,6,5,75.5,23,8,11,-1,-1,-1
11,6,5,67.5,33,11,-1,-1,-1,-1
12,6,5,82.0,19,40,-1,-1,-1,-1
13,6,5,40.0,49,1,-1,-1,-1,-1
14,6,5,61.0,45,15,-1,-1,-1,-1
15,6,5,47.0,28,-1,-1,-1,-1,-1
16,6,5,77.5,17,-1,-1,-1,-1,-1
17,6,5,74.5,7,27,-1,-1,-1,-1
18,6,5,66.0,19,-1,-1,-1,-1,-1
19,6,5,78.5,20,22,-1,-1,-1,-1
20,6,4,89.4,7,24,-1,-1,-1,-1
21,6,4,48.2,48,3,-1,-1,-1,-1
22,6,4,87.8,43,13,-1,-1,-1,-1
23,6,4,58.0,51,5,-1,-1,-1,-1
24,6,4,43.4,40,24,25,-1,-1,-1
25,6,4,51.2,1,45,-1,-1,-1,-1
26,6,4,69.0,4,46,-1,-1,-1,-1
27,6,4,93.6,23,14,-1,-1,-1,-1
28,6,4,92.4,18,27,-1,-1,-1,-1
29,6,3,64.7,19,39,-1,-1,-1,-1
30,6,3,64.1,0,21,23,25,-1,-1
31,6,3,69.1,20,46,-1,-1,-1,-1
32,6,3,35.9,28,45,-1,-1,-1,-1
33,6,3,112.0,1,7,40,-1,-1,-1
34,6,3,67.8,2,44,-1,-1,-1,-1
35,6,3,62.7,22,45,-1,-1,-1,-1
36,6,3,97.3,28,-1,-1,-1,-1,-1
37,6,3,57.8,18,39,-1,-1,-1,-1
38,6,3,102.2,34,40,-1,-1,-1,-1
39,6,2,125.6,33,-1,-1,-1,-1,-1
40,6,2,68.0,48,29,-1,-1,-1,-1
41,6,2,70.2,7,12,13,-1,-1,-1
42,6,2,123.2,38,27,-1,-1,-1,-1
43,6,2,121.6,34,-1,-1,-1,-1,-1
44,6,2,82.0,50,5,-1,-1,-1,-1
45,6,2,79.6,37,39,-1,-1,-1,-1
46,6,2,96.2,51,5,-1,-1,-1,-1
47,6,2,117.2,32,39,-1,-1,-1,-1
48,6,1,63.4,1,40,-1,-1,-1,-1
49,6,1,130.5,20,-1,-1,-1,-1,-1
50,6,1,96.6,33,40,-1,-1,-1,-1
51,6,1,155.7,41,-1,-1,-1,-1,-1
52,6,1,94.1,51,24,-1,-1,-1,-1
53,6,1,128.7,37,-1,-1,-1,-1,-1
54,6,1,89.0,36,46,-1,-1,-1,-1
55,6,1,135.0,39,-1,-1,-1,-1,-1
56,6,1,76.5,6,31,-1,-1,-1,-1
57,6,1,118.8,36,41,-1,-1,-1,-1
58,6,1,103.3,37,6,-1,-1,-1,-1
59,6,1,140.4,32,-1,-1,-1,-1,-1
60,6,1,102.8,40,45,-1,-1,-1,-1
61,6,0,126.0,48,-1,-1,-1,-1,-1
62,6,0,108.0,30,-1,-1,-1,-1,-1
63,6,0,86.0,31,-1,-1,-1,-1,-1
64,6,0,113.0,51,-1,-1,-1,-1,-1
65,6,0,94.0,48,-1,-1,-1,-1,-1
66,6,0,113.0,17,-1,-1,-1,-1,-1
67,6,0,152.0,19,-1,-1,-1,-1,-1
0,7,7,21.5,38,-1,-1,-1,-1,-1
1,7,7,53.7,3,6,12,-1,-1,-1
2,7,7,45.0,18,41,25,9,-1,-1
3,7,7,46.8,32,-1,-1,-1,-1,-1
4,7,7,46.2,51,-1,-1,-1,-1,-1
5,7,7,46.8,0,6,-1,-1,-1,-1
6,7,7,45.0,0,10,31,-1,-1,-1
7,7,7,45.3,39,10,-1,-1,-1,-1
8,7,6,12.4,8,42,-1,-1,-1,-1
9,7,6,16.0,16,53,-1,-1,-1,-1
10,7,6,60.4,23,8,11,-1,-1,-1
11,7,6,54.0,33,11,-1,-1,-1,-1
12,7,6,22.6,41,-1,-1,-1,-1,-1
13,7,6,57.6,30,-1,-1,-1,-1,-1
14,7,6,64.0,45,-1,-1,-1,-1,-1
15,7,6,64.8,0,8,28,-1,-1,-1
16,7,6,62.0,17,-1,-1,-1,-1,-1
17,7,6,26.6,2,55,-1,-1,-1,-1
18,7,6,10.8,16,54,-1,-1,-1,-1
19,7,6,62.8,20,22,-1,-1,-1,-1
20,7,5,4.5,22,-1,-1,-1,-1,-1
21,7,5,37.0,3,56,-1,-1,-1,-1
22,7,5,68.5,57,13,-1,-1,-1,-1
23,7,5,65.0,51,22,-1,-1,-1,-1
24,7,5,39.5,43,-1,-1,-1,-1,-1
25,7,5,45.5,1,55,-1,-1,-1,-1
26,7,5,80.0,36,46,-1,-1,-1,-1
27,7,5,30.0,38,-1,-1,-1,-1,-1
28,7,5,77.0,18,27,-1,-1,-1,-1
29,7,4,90.6,19,39,27,-1,-1,-1
